Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Ship Date,State,Customers,Orders,profit margin,Quantity,Total Profit,Total Sales
Labels,Los Angeles,United States,Darrin Van Huff,13-06-2013,CA-2013-138688,Self-Adhesive Address Labels for Typewriters by Universal,17-06-2013,California,1,1,0.47,2,6.8714,14.62
Furnishings,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14-06-2011,California,1,1,0.29,7,14.1694,48.86
Art,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,Newell 322,14-06-2011,California,1,1,0.27,4,1.9656,7.28
Phones,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,Mitel 5320 IP Phone VoIP phone,14-06-2011,California,1,1,0.1,4,90.7152,907.152
Binders,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,DXL Angle-View Binders with Locking Rings by Samsill,14-06-2011,California,1,1,0.3125,3,5.7825,18.504
Appliances,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,Belkin F5C206VTEL 6 Outlet Surge,14-06-2011,California,1,1,0.3,5,34.47,114.9
Tables,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,Chromcraft Rectangular Conference Tables,14-06-2011,California,1,1,0.05,9,85.3092,1706.184
Phones,Los Angeles,United States,Brosina Hoffman,09-06-2011,CA-2011-115812,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,14-06-2011,California,1,1,0.075,4,68.3568,911.424
Binders,Seattle,United States,Irene Maddox,06-12-2013,CA-2013-161389,Fellowes PB200 Plastic Comb Binding Machine,11-12-2013,Washington,1,1,0.325,3,132.5922,407.976
Storage,West Jordan,United States,Alejandro Grove,13-05-2011,CA-2011-167164,Fellowes Super Stor/Drawer,15-05-2011,Utah,1,1,0.18,2,9.99,55.5
Art,San Francisco,United States,Zuschuss Donatelli,27-08-2011,CA-2011-143336,Newell 341,01-09-2011,California,1,1,0.29,2,2.4824,8.56
Phones,San Francisco,United States,Zuschuss Donatelli,27-08-2011,CA-2011-143336,Cisco SPA 501G IP Phone,01-09-2011,California,1,1,0.075,3,16.011,213.48
Binders,San Francisco,United States,Zuschuss Donatelli,27-08-2011,CA-2011-143336,"Wilson Jones Hanging View Binder, White, 1""",01-09-2011,California,1,1,0.325,4,7.384,22.72
Tables,Orem,United States,Emily Burns,25-09-2012,CA-2012-106320,Bretford CR4500 Series Slim Rectangular Table,30-09-2012,Utah,1,1,0.23,3,240.2649,1044.63
Binders,Los Angeles,United States,Eric Hoffmann,16-01-2013,CA-2013-121755,Wilson Jones Active Use Binders,20-01-2013,California,1,1,0.3625,2,4.2224,11.648
Accessories,Los Angeles,United States,Eric Hoffmann,16-01-2013,CA-2013-121755,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,20-01-2013,California,1,1,0.13,3,11.7741,90.57
Storage,Los Angeles,United States,Ruben Ausman,18-07-2013,CA-2013-101343,"Eldon Base for stackable storage shelf, platinum",23-07-2013,California,1,1,0.05,2,3.894,77.88
Accessories,Los Angeles,United States,Kunst Miller,24-11-2012,CA-2012-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",30-11-2012,California,1,1,0.44,2,6.1512,13.98
Binders,Los Angeles,United States,Kunst Miller,24-11-2012,CA-2012-135545,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",30-11-2012,California,1,1,0.3625,6,9.3612,25.824
Paper,Los Angeles,United States,Kunst Miller,24-11-2012,CA-2012-135545,Xerox 1943,30-11-2012,California,1,1,0.47,3,68.9631,146.73
Furnishings,Los Angeles,United States,Kunst Miller,24-11-2012,CA-2012-135545,Luxo Economy Swing Arm Lamp,30-11-2012,California,1,1,0.28,4,22.3328,79.76
Art,Gilbert,United States,Brendan Sweed,05-12-2011,CA-2011-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",10-12-2011,Arizona,1,1,0.1,8,111.3024,1113.024
Phones,Gilbert,United States,Brendan Sweed,05-12-2011,CA-2011-106376,netTALK DUO VoIP Telephone Service,10-12-2011,Arizona,1,1,0.375,4,62.988,167.968
Art,San Francisco,United States,Duane Noonan,12-10-2011,CA-2011-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",16-10-2011,California,1,1,0.28,5,4.172,14.9
Storage,San Francisco,United States,Duane Noonan,12-10-2011,CA-2011-139451,"Sortfiler Multipurpose Personal File Organizer, Black",16-10-2011,California,1,1,0.29,1,6.2031,21.39
Art,Los Angeles,United States,Jim Sink,18-09-2013,CA-2013-109806,Turquoise Lead Holder with Pocket Clip,23-09-2013,California,1,1,0.33,3,6.633,20.1
